iter	Passed	Remaining
0	359	358830
1	664	331628
2	958	318416
3	1269	316000
4	1593	317068
5	1980	328137
6	2291	325013
7	2647	328309
8	3034	334159
9	3493	345877
10	3874	348354
11	4141	341017
12	4406	334524
13	4654	327829
14	4896	321523
15	5119	314869
16	5367	310388
17	5592	305085
18	5879	303564
19	6142	300995
20	6368	296885
21	6610	293846
22	6834	290326
23	7067	287399
24	7311	285165
25	7537	282359
26	7780	280388
27	8021	278465
28	8237	275808
29	8476	274078
30	8710	272270
31	8926	270015
32	9135	267690
33	9339	265356
34	9594	264526
35	9824	263090
36	10053	261671
37	10289	260484
38	10535	259593
39	10795	259081
40	11076	259089
41	11384	259671
42	11617	258548
43	11873	257970
44	12136	257556
45	12395	257078
46	12644	256392
47	12902	255899
48	13125	254735
49	13370	254041
50	13702	254965
51	13951	254346
52	14195	253649
53	14520	254371
54	14774	253845
55	15011	253045
56	15289	252952
57	15548	252522
58	15783	251729
59	16041	251310
60	16327	251332
61	16546	250332
62	16788	249702
63	17052	249394
64	17320	249150
65	17607	249166
66	17929	249674
67	18192	249347
68	18459	249064
69	18689	248308
70	18932	247724
71	19170	247082
72	19444	246912
73	19739	247010
74	19989	246538
75	20233	245997
76	20475	245436
77	20773	245549
78	21054	245460
79	21358	245627
80	21641	245534
81	21875	244893
82	22121	244403
83	22368	243928
84	22645	243776
85	22923	243625
86	23177	243232
87	23438	242907
88	23711	242711
89	23958	242251
90	24230	242034
91	24457	241384
92	24705	240948
93	25002	240980
94	25250	240544
95	25521	240327
96	25798	240165
97	26081	240054
98	26301	239369
99	26561	239056
100	26814	238676
101	27039	238051
102	27321	237935
103	27554	237394
104	27834	237259
105	28071	236754
106	28300	236186
107	28556	235857
108	28817	235564
109	29085	235324
110	29343	235013
111	29570	234451
112	29814	234034
113	30030	233398
114	30256	232846
115	30521	232598
116	30785	232340
117	31057	232138
118	31279	231576
119	31488	230919
120	31740	230576
121	31942	229881
122	32224	229759
123	32445	229212
124	32714	229000
125	32994	228868
126	33286	228810
127	33514	228318
128	33751	227885
129	33968	227327
130	34215	226968
131	34458	226590
132	34703	226225
133	34925	225709
134	35162	225301
135	35387	224812
136	35644	224536
137	35893	224204
138	36142	223878
139	36342	223244
140	36576	222832
141	36785	222270
142	36981	221627
143	37200	221135
144	37429	220707
145	37642	220184
146	37859	219689
147	38059	219098
148	38279	218630
149	38486	218089
150	38687	217520
151	38904	217047
152	39126	216601
153	39336	216094
154	39551	215619
155	39784	215244
156	39995	214750
157	40205	214261
158	40398	213681
159	40615	213231
160	40824	212742
161	41038	212285
162	41246	211798
163	41485	211474
164	41694	210998
165	41914	210580
166	42121	210101
167	42333	209653
168	42605	209499
169	42821	209068
170	43020	208563
171	43241	208161
172	43445	207684
173	43676	207338
174	43899	206956
175	44101	206475
176	44302	205995
177	44536	205669
178	44762	205307
179	44965	204842
180	45173	204403
181	45387	203996
182	45600	203584
183	45825	203227
184	46036	202807
185	46250	202407
186	46469	202029
187	46686	201645
188	46902	201259
189	47115	200859
190	47333	200484
191	47548	200099
192	47768	199736
193	47984	199359
194	48195	198962
195	48403	198552
196	48616	198168
197	48831	197792
198	49038	197386
199	49248	196995
200	49455	196590
201	49664	196199
202	49889	195871
203	50100	195491
204	50326	195168
205	50552	194847
206	50779	194530
207	50994	194172
208	51216	193838
209	51443	193526
210	51708	193355
211	51931	193028
212	52142	192658
213	52357	192303
214	52572	191950
215	52792	191616
216	53001	191244
217	53209	190869
218	53415	190489
219	53634	190157
220	53857	189841
221	54073	189499
222	54291	189168
223	54508	188831
224	54728	188508
225	54952	188199
226	55164	187851
227	55383	187525
228	55606	187215
229	55832	186916
230	56060	186626
231	56283	186318
232	56507	186015
233	56732	185714
234	56960	185423
235	57178	185104
236	57401	184798
237	57629	184511
238	57849	184197
239	58073	183898
240	58296	183598
241	58511	183272
242	58738	182983
243	58967	182702
244	59185	182387
245	59421	182128
246	59655	181863
247	59883	181581
248	60108	181291
249	60353	181060
250	60585	180791
251	60836	180577
252	61083	180353
253	61330	180129
254	61571	179885
255	61815	179650
256	62052	179396
257	62294	179156
258	62530	178899
259	62768	178650
260	63010	178407
261	63243	178144
262	63500	177947
263	63741	177702
264	63984	177465
265	64215	177197
266	64449	176935
267	64693	176700
268	64942	176479
